date,meter_id,meter_reading,daily_consumption,negative_diff_flag
2022-12-10,D0857,4283680.0,1170.0,False
2022-12-11,D0857,4284770.0,1090.0,False
2022-12-12,D0857,4285800.0,1030.0,False
2022-12-13,D0857,4286980.0,1180.0,False
2022-12-14,D0857,4288150.0,1170.0,False
2022-12-15,D0857,4289300.0,1150.0,False
2022-12-16,D0857,4290440.0,1140.0,False
2022-12-17,D0857,4291570.0,1130.0,False
2022-12-18,D0857,4292660.0,1090.0,False
2022-12-19,D0857,4293670.0,1010.0,False
2022-12-20,D0857,4294820.0,1150.0,False
2022-12-21,D0857,4295950.0,1130.0,False
2022-12-22,D0857,4297060.0,1110.0,False
2022-12-23,D0857,4298170.0,1110.0,False
2022-12-24,D0857,4299290.0,1120.0,False
2022-12-25,D0857,4300320.0,1030.0,False
2022-12-26,D0857,4301330.0,1010.0,False
2022-12-27,D0857,4302360.0,1030.0,False
2022-12-28,D0857,4303390.0,1030.0,False
2022-12-29,D0857,4304500.0,1110.0,False
2022-12-30,D0857,4305630.0,1130.0,False
2022-12-31,D0857,4306720.0,1090.0,False
2023-01-01,D0857,4307730.0,1010.0,False
2023-01-02,D0857,4308720.0,990.0,False
2023-01-03,D0857,4309720.0,1000.0,False
2023-01-04,D0857,4310850.0,1130.0,False
2023-01-05,D0857,4312010.0,1160.0,False
2023-01-06,D0857,4313160.0,1150.0,False
2023-01-07,D0857,4314270.0,1110.0,False
2023-01-08,D0857,4315280.0,1010.0,False
2023-01-09,D0857,4316250.0,970.0,False
2023-01-10,D0857,4317370.0,1120.0,False
2023-01-11,D0857,4318530.0,1160.0,False
2023-01-12,D0857,4319670.0,1140.0,False
2023-01-13,D0857,4320790.0,1120.0,False
2023-01-14,D0857,4321920.0,1130.0,False
2023-01-15,D0857,4322940.0,1020.0,False
2023-01-16,D0857,4323960.0,1020.0,False
2023-01-17,D0857,4325080.0,1120.0,False
2023-01-18,D0857,4326180.0,1100.0,False
2023-01-19,D0857,4327280.0,1100.0,False
2023-01-20,D0857,4328360.0,1080.0,False
2023-01-21,D0857,4329430.0,1070.0,False
2023-01-22,D0857,4330380.0,950.0,False
2023-01-23,D0857,4331330.0,950.0,False
2023-01-24,D0857,4332290.0,960.0,False
2023-01-25,D0857,4333260.0,970.0,False
2023-01-26,D0857,4334230.0,970.0,False
2023-01-27,D0857,4335300.0,1070.0,False
2023-01-28,D0857,4336360.0,1060.0,False
2023-01-29,D0857,4337370.0,1010.0,False
2023-01-30,D0857,4338370.0,1000.0,False
2023-01-31,D0857,4339440.0,1070.0,False
2023-02-01,D0857,4340540.0,1100.0,False
2023-02-02,D0857,4341600.0,1060.0,False
2023-02-03,D0857,4342660.0,1060.0,False
2023-02-04,D0857,4343740.0,1080.0,False
2023-02-05,D0857,4344680.0,940.0,False
2023-02-06,D0857,4345630.0,950.0,False
2023-02-07,D0857,4346750.0,1120.0,False
2023-02-08,D0857,4347850.0,1100.0,False
2023-02-09,D0857,4348990.0,1140.0,False
2023-02-10,D0857,4350090.0,1100.0,False
2023-02-11,D0857,4351200.0,1110.0,False
2023-02-12,D0857,4352210.0,1010.0,False
2023-02-13,D0857,4353180.0,970.0,False
2023-02-14,D0857,4354270.0,1090.0,False
2023-02-15,D0857,4355350.0,1080.0,False
2023-02-16,D0857,4356460.0,1110.0,False
2023-02-17,D0857,4357560.0,1100.0,False
2023-02-18,D0857,4358650.0,1090.0,False
2023-02-19,D0857,4359620.0,970.0,False
2023-02-20,D0857,4360540.0,920.0,False
2023-02-21,D0857,4361630.0,1090.0,False
2023-02-22,D0857,4362730.0,1100.0,False
2023-02-23,D0857,4363830.0,1100.0,False
2023-02-24,D0857,4364940.0,1110.0,False
2023-02-25,D0857,4366050.0,1110.0,False
2023-02-26,D0857,4367040.0,990.0,False
2023-02-27,D0857,4368010.0,970.0,False
2023-02-28,D0857,4369110.0,1100.0,False
2023-03-01,D0857,4370210.0,1100.0,False
2023-03-02,D0857,4371320.0,1110.0,False
2023-03-03,D0857,4372440.0,1120.0,False
2023-03-04,D0857,4373550.0,1110.0,False
2023-03-05,D0857,4374590.0,1040.0,False
2023-03-06,D0857,4375590.0,1000.0,False
2023-03-07,D0857,4376700.0,1110.0,False
2023-03-08,D0857,4377830.0,1130.0,False
2023-03-09,D0857,4378950.0,1120.0,False
2023-03-10,D0857,4380080.0,1130.0,False
2023-03-11,D0857,4381190.0,1110.0,False
2023-03-12,D0857,4382200.0,1010.0,False
2023-03-13,D0857,4383180.0,980.0,False
2023-03-14,D0857,4384290.0,1110.0,False
2023-03-15,D0857,4385420.0,1130.0,False
2023-03-16,D0857,4386540.0,1120.0,False
2023-03-17,D0857,4387660.0,1120.0,False
2023-03-18,D0857,4388800.0,1140.0,False
2023-03-19,D0857,4389840.0,1040.0,False
2023-03-20,D0857,4390810.0,970.0,False
2023-03-21,D0857,4391940.0,1130.0,False
2023-03-22,D0857,4393070.0,1130.0,False
2023-03-23,D0857,4394220.0,1150.0,False
2023-03-24,D0857,4395360.0,1140.0,False
2023-03-25,D0857,4396490.0,1130.0,False
2023-03-26,D0857,4397520.0,1030.0,False
2023-03-27,D0857,4398500.0,980.0,False
2023-03-28,D0857,4399630.0,1130.0,False
2023-03-29,D0857,4400790.0,1160.0,False
2023-03-30,D0857,4401930.0,1140.0,False
2023-03-31,D0857,4403070.0,1140.0,False
2023-04-01,D0857,4404190.0,1120.0,False
2023-04-02,D0857,4405210.0,1020.0,False
2023-04-03,D0857,4406170.0,960.0,False
2023-04-04,D0857,4407280.0,1110.0,False
2023-04-05,D0857,4408370.0,1090.0,False
2023-04-06,D0857,4409370.0,1000.0,False
2023-04-07,D0857,4410430.0,1060.0,False
2023-04-08,D0857,4411400.0,970.0,False
2023-04-09,D0857,4412390.0,990.0,False
2023-04-10,D0857,4413360.0,970.0,False
2023-04-11,D0857,4414340.0,980.0,False
2023-04-12,D0857,4415420.0,1080.0,False
2023-04-13,D0857,4416540.0,1120.0,False
2023-04-14,D0857,4417650.0,1110.0,False
2023-04-15,D0857,4418770.0,1120.0,False
2023-04-16,D0857,4419790.0,1020.0,False
2023-04-17,D0857,4420760.0,970.0,False
2023-04-18,D0857,4421890.0,1130.0,False
2023-04-19,D0857,4423040.0,1150.0,False
2023-04-20,D0857,4424170.0,1130.0,False
2023-04-21,D0857,4425300.0,1130.0,False
2023-04-22,D0857,4426430.0,1130.0,False
2023-04-23,D0857,4427450.0,1020.0,False
2023-04-24,D0857,4428440.0,990.0,False
2023-04-25,D0857,4429570.0,1130.0,False
2023-04-26,D0857,4430690.0,1120.0,False
2023-04-27,D0857,4431830.0,1140.0,False
2023-04-28,D0857,4432990.0,1160.0,False
2023-04-29,D0857,4434120.0,1130.0,False
2023-04-30,D0857,4435180.0,1060.0,False
2023-05-01,D0857,4436250.0,1070.0,False
2023-05-02,D0857,4437250.0,1000.0,False
2023-05-03,D0857,4438410.0,1160.0,False
2023-05-04,D0857,4439550.0,1140.0,False
2023-05-05,D0857,4440700.0,1150.0,False
2023-05-06,D0857,4441840.0,1140.0,False
2023-05-07,D0857,4442870.0,1030.0,False
2023-05-08,D0857,4443860.0,990.0,False
2023-05-09,D0857,4445000.0,1140.0,False
2023-05-10,D0857,4446130.0,1130.0,False
2023-05-11,D0857,4447210.0,1080.0,False
2023-05-12,D0857,4448330.0,1120.0,False
2023-05-13,D0857,4449430.0,1100.0,False
2023-05-14,D0857,4450410.0,980.0,False
2023-05-15,D0857,4451390.0,980.0,False
2023-05-16,D0857,4452460.0,1070.0,False
2023-05-17,D0857,4453590.0,1130.0,False
2023-05-18,D0857,4454720.0,1130.0,False
2023-05-19,D0857,4455830.0,1110.0,False
2023-05-20,D0857,4456940.0,1110.0,False
2023-05-21,D0857,4457960.0,1020.0,False
2023-05-22,D0857,4458910.0,950.0,False
2023-05-23,D0857,4460000.0,1090.0,False
2023-05-24,D0857,4461110.0,1110.0,False
2023-05-25,D0857,4462200.0,1090.0,False
2023-05-26,D0857,4463310.0,1110.0,False
2023-05-27,D0857,4464290.0,980.0,False
2023-05-28,D0857,4465290.0,1000.0,False
2023-05-29,D0857,4466270.0,980.0,False
2023-05-30,D0857,4467390.0,1120.0,False
2023-05-31,D0857,4468460.0,1070.0,False
2023-06-01,D0857,4469510.0,1050.0,False
2023-06-02,D0857,4470580.0,1070.0,False
2023-06-03,D0857,4471620.0,1040.0,False
2023-06-04,D0857,4472580.0,960.0,False
2023-06-05,D0857,4473510.0,930.0,False
2023-06-06,D0857,4474560.0,1050.0,False
2023-06-07,D0857,4475590.0,1030.0,False
2023-06-08,D0857,4476620.0,1030.0,False
2023-06-09,D0857,4477660.0,1040.0,False
2023-06-10,D0857,4478720.0,1060.0,False
2023-06-11,D0857,4479690.0,970.0,False
2023-06-12,D0857,4480650.0,960.0,False
2023-06-13,D0857,4481680.0,1030.0,False
2023-06-14,D0857,4482730.0,1050.0,False
2023-06-15,D0857,4483760.0,1030.0,False
2023-06-16,D0857,4484810.0,1050.0,False
2023-06-17,D0857,4485860.0,1050.0,False
2023-06-18,D0857,4486810.0,950.0,False
2023-06-19,D0857,4487740.0,930.0,False
2023-06-20,D0857,4488780.0,1040.0,False
2023-06-21,D0857,4489810.0,1030.0,False
2023-06-22,D0857,4490850.0,1040.0,False
2023-06-23,D0857,4491810.0,960.0,False
2023-06-24,D0857,4492860.0,1050.0,False
2023-06-25,D0857,4493840.0,980.0,False
2023-06-26,D0857,4494790.0,950.0,False
2023-06-27,D0857,4495820.0,1030.0,False
2023-06-28,D0857,4496850.0,1030.0,False
2023-06-29,D0857,4497900.0,1050.0,False
2023-06-30,D0857,4498960.0,1060.0,False
2023-07-01,D0857,4500010.0,1050.0,False
2023-07-02,D0857,4500940.0,930.0,False
2023-07-03,D0857,4501880.0,940.0,False
2023-07-04,D0857,4502920.0,1040.0,False
2023-07-05,D0857,4503970.0,1050.0,False
2023-07-06,D0857,4505040.0,1070.0,False
2023-07-07,D0857,4506100.0,1060.0,False
2023-07-08,D0857,4507160.0,1060.0,False
2023-07-09,D0857,4508190.0,1030.0,False
2023-07-10,D0857,4509240.0,1050.0,False
2023-07-11,D0857,4510320.0,1080.0,False
2023-07-12,D0857,4511390.0,1070.0,False
2023-07-13,D0857,4512450.0,1060.0,False
2023-07-14,D0857,4513510.0,1060.0,False
2023-07-15,D0857,4514570.0,1060.0,False
2023-07-16,D0857,4515590.0,1020.0,False
2023-07-17,D0857,4516560.0,970.0,False
2023-07-18,D0857,4517520.0,960.0,False
2023-07-19,D0857,4518580.0,1060.0,False
2023-07-20,D0857,4519660.0,1080.0,False
2023-07-21,D0857,4520700.0,1040.0,False
2023-07-22,D0857,4521760.0,1060.0,False
2023-07-23,D0857,4522730.0,970.0,False
2023-07-24,D0857,4523700.0,970.0,False
2023-07-25,D0857,4524780.0,1080.0,False
2023-07-26,D0857,4525840.0,1060.0,False
2023-07-27,D0857,4526910.0,1070.0,False
2023-07-28,D0857,4527950.0,1040.0,False
2023-07-29,D0857,4529000.0,1050.0,False
2023-07-30,D0857,4529990.0,990.0,False
2023-07-31,D0857,4530930.0,940.0,False
2023-08-01,D0857,4531990.0,1060.0,False
2023-08-02,D0857,4533020.0,1030.0,False
2023-08-03,D0857,4534080.0,1060.0,False
2023-08-04,D0857,4535120.0,1040.0,False
2023-08-05,D0857,4536160.0,1040.0,False
2023-08-06,D0857,4537140.0,980.0,False
2023-08-07,D0857,4538100.0,960.0,False
2023-08-08,D0857,4539160.0,1060.0,False
2023-08-09,D0857,4540210.0,1050.0,False
2023-08-10,D0857,4541280.0,1070.0,False
2023-08-11,D0857,4542380.0,1100.0,False
2023-08-12,D0857,4543460.0,1080.0,False
2023-08-13,D0857,4544440.0,980.0,False
2023-08-14,D0857,4545430.0,990.0,False
2023-08-15,D0857,4546490.0,1060.0,False
2023-08-16,D0857,4547550.0,1060.0,False
2023-08-17,D0857,4548610.0,1060.0,False
2023-08-18,D0857,4549670.0,1060.0,False
2023-08-19,D0857,4550730.0,1060.0,False
2023-08-20,D0857,4551710.0,980.0,False
2023-08-21,D0857,4552650.0,940.0,False
2023-08-22,D0857,4553670.0,1020.0,False
2023-08-23,D0857,4554700.0,1030.0,False
2023-08-24,D0857,4555720.0,1020.0,False
2023-08-25,D0857,4556740.0,1020.0,False
2023-08-26,D0857,4557760.0,1020.0,False
2023-08-27,D0857,4558690.0,930.0,False
2023-08-28,D0857,4559600.0,910.0,False
2023-08-29,D0857,4560610.0,1010.0,False
2023-08-30,D0857,4561630.0,1020.0,False
2023-08-31,D0857,4562650.0,1020.0,False
2023-09-01,D0857,4563650.0,1000.0,False
2023-09-02,D0857,4564560.0,910.0,False
2023-09-03,D0857,4565470.0,910.0,False
2023-09-04,D0857,4566410.0,940.0,False
2023-09-05,D0857,4567480.0,1070.0,False
2023-09-06,D0857,4568530.0,1050.0,False
2023-09-07,D0857,4569610.0,1080.0,False
2023-09-08,D0857,4570680.0,1070.0,False
2023-09-09,D0857,4571630.0,950.0,False
2023-09-10,D0857,4572620.0,990.0,False
2023-09-11,D0857,4573600.0,980.0,False
2023-09-12,D0857,4574700.0,1100.0,False
2023-09-13,D0857,4575790.0,1090.0,False
2023-09-14,D0857,4576860.0,1070.0,False
2023-09-15,D0857,4577920.0,1060.0,False
2023-09-16,D0857,4578980.0,1060.0,False
2023-09-17,D0857,4579950.0,970.0,False
2023-09-18,D0857,4580890.0,940.0,False
2023-09-19,D0857,4581950.0,1060.0,False
2023-09-20,D0857,4583000.0,1050.0,False
2023-09-21,D0857,4584050.0,1050.0,False
2023-09-22,D0857,4585090.0,1040.0,False
2023-09-23,D0857,4586140.0,1050.0,False
2023-09-24,D0857,4587120.0,980.0,False
2023-09-25,D0857,4588060.0,940.0,False
2023-09-26,D0857,4589130.0,1070.0,False
2023-09-27,D0857,4590200.0,1070.0,False
2023-09-28,D0857,4591240.0,1040.0,False
2023-09-29,D0857,4592270.0,1030.0,False
2023-09-30,D0857,4593270.0,1000.0,False
2023-10-01,D0857,4594150.0,880.0,False
2023-10-02,D0857,4595020.0,870.0,False
2023-10-03,D0857,4595930.0,910.0,False
2023-10-04,D0857,4596930.0,1000.0,False
2023-10-05,D0857,4597940.0,1010.0,False
2023-10-06,D0857,4598940.0,1000.0,False
2023-10-07,D0857,4599940.0,1000.0,False
2023-10-08,D0857,4600830.0,890.0,False
2023-10-09,D0857,4601700.0,870.0,False
2023-10-10,D0857,4602620.0,920.0,False
2023-10-11,D0857,4603620.0,1000.0,False
2023-10-12,D0857,4604630.0,1010.0,False
2023-10-13,D0857,4605610.0,980.0,False
2023-10-14,D0857,4606610.0,1000.0,False
2023-10-15,D0857,4607530.0,920.0,False
2023-10-16,D0857,4608410.0,880.0,False
2023-10-17,D0857,4609410.0,1000.0,False
2023-10-18,D0857,4610400.0,990.0,False
2023-10-19,D0857,4611430.0,1030.0,False
2023-10-20,D0857,4612430.0,1000.0,False
2023-10-21,D0857,4613410.0,980.0,False
2023-10-22,D0857,4614320.0,910.0,False
2023-10-23,D0857,4615210.0,890.0,False
2023-10-24,D0857,4616070.0,860.0,False
2023-10-25,D0857,4617030.0,960.0,False
2023-10-26,D0857,4618010.0,980.0,False
2023-10-27,D0857,4618950.0,940.0,False
2023-10-28,D0857,4619910.0,960.0,False
2023-10-29,D0857,4620810.0,900.0,False
2023-10-30,D0857,4621680.0,870.0,False
2023-10-31,D0857,4622640.0,960.0,False
2023-11-01,D0857,4623580.0,940.0,False
2023-11-02,D0857,4624520.0,940.0,False
2023-11-03,D0857,4625450.0,930.0,False
2023-11-04,D0857,4626390.0,940.0,False
2023-11-05,D0857,4627250.0,860.0,False
2023-11-06,D0857,4628050.0,800.0,False
2023-11-07,D0857,4628980.0,930.0,False
2023-11-08,D0857,4629900.0,920.0,False
2023-11-09,D0857,4630820.0,920.0,False
2023-11-10,D0857,4631710.0,890.0,False
2023-11-11,D0857,4632610.0,900.0,False
2023-11-12,D0857,4633440.0,830.0,False
2023-11-13,D0857,4634230.0,790.0,False
2023-11-14,D0857,4635130.0,900.0,False
2023-11-15,D0857,4636030.0,900.0,False
2023-11-16,D0857,4636940.0,910.0,False
2023-11-17,D0857,4637850.0,910.0,False
2023-11-18,D0857,4638750.0,900.0,False
2023-11-19,D0857,4639590.0,840.0,False
2023-11-20,D0857,4640430.0,840.0,False
2023-11-21,D0857,4641330.0,900.0,False
2023-11-22,D0857,4642210.0,880.0,False
2023-11-23,D0857,4643100.0,890.0,False
2023-11-24,D0857,4643970.0,870.0,False
2023-11-25,D0857,4644840.0,870.0,False
2023-11-26,D0857,4645630.0,790.0,False
2023-11-27,D0857,4646410.0,780.0,False
2023-11-28,D0857,4647300.0,890.0,False
2023-11-29,D0857,4648190.0,890.0,False
2023-11-30,D0857,4649100.0,910.0,False
2023-12-01,D0857,4649980.0,880.0,False
2023-12-02,D0857,4650820.0,840.0,False
2023-12-03,D0857,4651660.0,840.0,False
2023-12-04,D0857,4652470.0,810.0,False
2023-12-05,D0857,4653350.0,880.0,False
2023-12-06,D0857,4654190.0,840.0,False
2023-12-07,D0857,4655030.0,840.0,False
2023-12-08,D0857,4655920.0,890.0,False
2023-12-09,D0857,4656810.0,890.0,False
2023-12-10,D0857,4657640.0,830.0,False
2023-12-11,D0857,4658420.0,780.0,False
2023-12-12,D0857,4659310.0,890.0,False
2023-12-13,D0857,4660200.0,890.0,False
2023-12-14,D0857,4661090.0,890.0,False
2023-12-15,D0857,4661960.0,870.0,False
2023-12-16,D0857,4662860.0,900.0,False
2023-12-17,D0857,4663670.0,810.0,False
2023-12-18,D0857,4664420.0,750.0,False
2023-12-19,D0857,4665290.0,870.0,False
2023-12-20,D0857,4666160.0,870.0,False
2023-12-21,D0857,4667050.0,890.0,False
2023-12-22,D0857,4667880.0,830.0,False
2023-12-23,D0857,4668720.0,840.0,False
2023-12-24,D0857,4669500.0,780.0,False
2023-12-25,D0857,4670250.0,750.0,False
2023-12-26,D0857,4671000.0,750.0,False
2023-12-27,D0857,4671750.0,750.0,False
2023-12-28,D0857,4672570.0,820.0,False
2023-12-29,D0857,4673370.0,800.0,False
2023-12-30,D0857,4674150.0,780.0,False
2023-12-31,D0857,4674870.0,720.0,False
2024-01-01,D0857,4675580.0,710.0,False
2024-01-02,D0857,4676280.0,700.0,False
2024-01-03,D0857,4677070.0,790.0,False
2024-01-04,D0857,4677860.0,790.0,False
2024-01-05,D0857,4678640.0,780.0,False
2024-01-06,D0857,4679400.0,760.0,False
2024-01-07,D0857,4680100.0,700.0,False
2024-01-08,D0857,4680770.0,670.0,False
2024-01-09,D0857,4681520.0,750.0,False
2024-01-10,D0857,4682260.0,740.0,False
2024-01-11,D0857,4682980.0,720.0,False
2024-01-12,D0857,4683670.0,690.0,False
2024-01-13,D0857,4684380.0,710.0,False
2024-01-14,D0857,4685080.0,700.0,False
2024-01-15,D0857,4685710.0,630.0,False
2024-01-16,D0857,4686390.0,680.0,False
2024-01-17,D0857,4687060.0,670.0,False
2024-01-18,D0857,4687730.0,670.0,False
2024-01-19,D0857,4688390.0,660.0,False
2024-01-20,D0857,4689040.0,650.0,False
2024-01-21,D0857,4689700.0,660.0,False
2024-01-22,D0857,4690320.0,620.0,False
2024-01-23,D0857,4691020.0,700.0,False
2024-01-24,D0857,4691670.0,650.0,False
2024-01-25,D0857,4692350.0,680.0,False
2024-01-26,D0857,4693020.0,670.0,False
2024-01-27,D0857,4693690.0,670.0,False
2024-01-28,D0857,4694310.0,620.0,False
2024-01-29,D0857,4694920.0,610.0,False
2024-01-30,D0857,4695600.0,680.0,False
2024-01-31,D0857,4696290.0,690.0,False
2024-02-01,D0857,4696990.0,700.0,False
2024-02-02,D0857,4697680.0,690.0,False
2024-02-03,D0857,4698400.0,720.0,False
2024-02-04,D0857,4699060.0,660.0,False
2024-02-05,D0857,4699690.0,630.0,False
2024-02-06,D0857,4700400.0,710.0,False
2024-02-07,D0857,4701090.0,690.0,False
2024-02-08,D0857,4701780.0,690.0,False
2024-02-09,D0857,4702440.0,660.0,False
2024-02-10,D0857,4703090.0,650.0,False
2024-02-11,D0857,4703680.0,590.0,False
2024-02-12,D0857,4704260.0,580.0,False
2024-02-13,D0857,4704840.0,580.0,False
2024-02-14,D0857,4705440.0,600.0,False
2024-02-15,D0857,4706110.0,670.0,False
2024-02-16,D0857,4706770.0,660.0,False
2024-02-17,D0857,4707480.0,710.0,False
2024-02-18,D0857,4708110.0,630.0,False
2024-02-19,D0857,4708720.0,610.0,False
2024-02-20,D0857,4709430.0,710.0,False
2024-02-21,D0857,4710120.0,690.0,False
2024-02-22,D0857,4710830.0,710.0,False
2024-02-23,D0857,4711520.0,690.0,False
2024-02-24,D0857,4712240.0,720.0,False
2024-02-25,D0857,4712880.0,640.0,False
2024-02-26,D0857,4713470.0,590.0,False
2024-02-27,D0857,4714180.0,710.0,False
2024-02-28,D0857,4714870.0,690.0,False
2024-02-29,D0857,4715570.0,700.0,False
2024-03-01,D0857,4716270.0,700.0,False
2024-03-02,D0857,4716970.0,700.0,False
2024-03-03,D0857,4717600.0,630.0,False
2024-03-04,D0857,4718190.0,590.0,False
2024-03-05,D0857,4718910.0,720.0,False
2024-03-06,D0857,4719620.0,710.0,False
2024-03-07,D0857,4720330.0,710.0,False
2024-03-08,D0857,4721010.0,680.0,False
2024-03-09,D0857,4721730.0,720.0,False
2024-03-10,D0857,4722370.0,640.0,False
2024-03-11,D0857,4722980.0,610.0,False
2024-03-12,D0857,4723710.0,730.0,False
2024-03-13,D0857,4724400.0,690.0,False
2024-03-14,D0857,4725110.0,710.0,False
2024-03-15,D0857,4725820.0,710.0,False
2024-03-16,D0857,4726540.0,720.0,False
2024-03-17,D0857,4727210.0,670.0,False
2024-03-18,D0857,4727860.0,650.0,False
2024-03-19,D0857,4728590.0,730.0,False
2024-03-20,D0857,4729310.0,720.0,False
2024-03-21,D0857,4730010.0,700.0,False
2024-03-22,D0857,4730730.0,720.0,False
2024-03-23,D0857,4731450.0,720.0,False
2024-03-24,D0857,4732100.0,650.0,False
2024-03-25,D0857,4732740.0,640.0,False
2024-03-26,D0857,4733470.0,730.0,False
2024-03-27,D0857,4734200.0,730.0,False
2024-03-28,D0857,4734940.0,740.0,False
2024-03-29,D0857,4735610.0,670.0,False
2024-03-30,D0857,4736240.0,630.0,False
2024-03-31,D0857,4736860.0,620.0,False
2024-04-01,D0857,4737460.0,600.0,False
2024-04-02,D0857,4738090.0,630.0,False
2024-04-03,D0857,4738750.0,660.0,False
2024-04-04,D0857,4739410.0,660.0,False
2024-04-05,D0857,4740030.0,620.0,False
2024-04-06,D0857,4740700.0,670.0,False
2024-04-07,D0857,4741340.0,640.0,False
2024-04-08,D0857,4741950.0,610.0,False
2024-04-09,D0857,4742670.0,720.0,False
2024-04-10,D0857,4743370.0,700.0,False
2024-04-11,D0857,4744090.0,720.0,False
2024-04-12,D0857,4744790.0,700.0,False
2024-04-13,D0857,4745500.0,710.0,False
2024-04-14,D0857,4746140.0,640.0,False
2024-04-15,D0857,4746760.0,620.0,False
2024-04-16,D0857,4747460.0,700.0,False
2024-04-17,D0857,4748150.0,690.0,False
2024-04-18,D0857,4748850.0,700.0,False
2024-04-19,D0857,4749570.0,720.0,False
2024-04-20,D0857,4750290.0,720.0,False
2024-04-21,D0857,4750960.0,670.0,False
2024-04-22,D0857,4751580.0,620.0,False
2024-04-23,D0857,4752290.0,710.0,False
2024-04-24,D0857,4752990.0,700.0,False
2024-04-25,D0857,4753710.0,720.0,False
2024-04-26,D0857,4754430.0,720.0,False
2024-04-27,D0857,4755160.0,730.0,False
2024-04-28,D0857,4755810.0,650.0,False
2024-04-29,D0857,4756450.0,640.0,False
2024-04-30,D0857,4757190.0,740.0,False
2024-05-01,D0857,4757930.0,740.0,False
2024-05-02,D0857,4758580.0,650.0,False
2024-05-03,D0857,4759300.0,720.0,False
2024-05-04,D0857,4760030.0,730.0,False
2024-05-05,D0857,4760690.0,660.0,False
2024-05-06,D0857,4761330.0,640.0,False
2024-05-07,D0857,4762060.0,730.0,False
2024-05-08,D0857,4762760.0,700.0,False
2024-05-09,D0857,4763480.0,720.0,False
2024-05-10,D0857,4764190.0,710.0,False
2024-05-11,D0857,4764910.0,720.0,False
2024-05-12,D0857,4765560.0,650.0,False
2024-05-13,D0857,4766180.0,620.0,False
2024-05-14,D0857,4766890.0,710.0,False
2024-05-15,D0857,4767580.0,690.0,False
2024-05-16,D0857,4768210.0,630.0,False
2024-05-17,D0857,4768890.0,680.0,False
2024-05-18,D0857,4769570.0,680.0,False
2024-05-19,D0857,4770240.0,670.0,False
2024-05-20,D0857,4770870.0,630.0,False
2024-05-21,D0857,4771580.0,710.0,False
2024-05-22,D0857,4772290.0,710.0,False
2024-05-23,D0857,4773000.0,710.0,False
2024-05-24,D0857,4773710.0,710.0,False
2024-05-25,D0857,4774410.0,700.0,False
2024-05-26,D0857,4775070.0,660.0,False
