date,year,quarter,month,month_name,day,day_of_week,day_of_week_num,is_weekend,year_month
2022-03-22,2022,Q1,3,March,22,Tuesday,2,0,2022-03
2022-03-23,2022,Q1,3,March,23,Wednesday,3,0,2022-03
2022-03-24,2022,Q1,3,March,24,Thursday,4,0,2022-03
2022-03-25,2022,Q1,3,March,25,Friday,5,0,2022-03
2022-03-26,2022,Q1,3,March,26,Saturday,6,1,2022-03
2022-03-27,2022,Q1,3,March,27,Sunday,7,1,2022-03
2022-03-28,2022,Q1,3,March,28,Monday,1,0,2022-03
2022-03-29,2022,Q1,3,March,29,Tuesday,2,0,2022-03
2022-03-30,2022,Q1,3,March,30,Wednesday,3,0,2022-03
2022-03-31,2022,Q1,3,March,31,Thursday,4,0,2022-03
2022-04-01,2022,Q2,4,April,1,Friday,5,0,2022-04
2022-04-02,2022,Q2,4,April,2,Saturday,6,1,2022-04
2022-04-03,2022,Q2,4,April,3,Sunday,7,1,2022-04
2022-04-04,2022,Q2,4,April,4,Monday,1,0,2022-04
2022-04-05,2022,Q2,4,April,5,Tuesday,2,0,2022-04
2022-04-06,2022,Q2,4,April,6,Wednesday,3,0,2022-04
2022-04-07,2022,Q2,4,April,7,Thursday,4,0,2022-04
2022-04-08,2022,Q2,4,April,8,Friday,5,0,2022-04
2022-04-09,2022,Q2,4,April,9,Saturday,6,1,2022-04
2022-04-10,2022,Q2,4,April,10,Sunday,7,1,2022-04
2022-04-11,2022,Q2,4,April,11,Monday,1,0,2022-04
2022-04-12,2022,Q2,4,April,12,Tuesday,2,0,2022-04
2022-04-13,2022,Q2,4,April,13,Wednesday,3,0,2022-04
2022-04-14,2022,Q2,4,April,14,Thursday,4,0,2022-04
2022-04-15,2022,Q2,4,April,15,Friday,5,0,2022-04
2022-04-16,2022,Q2,4,April,16,Saturday,6,1,2022-04
2022-04-17,2022,Q2,4,April,17,Sunday,7,1,2022-04
2022-04-18,2022,Q2,4,April,18,Monday,1,0,2022-04
2022-04-19,2022,Q2,4,April,19,Tuesday,2,0,2022-04
2022-04-20,2022,Q2,4,April,20,Wednesday,3,0,2022-04
2022-04-21,2022,Q2,4,April,21,Thursday,4,0,2022-04
2022-04-22,2022,Q2,4,April,22,Friday,5,0,2022-04
2022-04-23,2022,Q2,4,April,23,Saturday,6,1,2022-04
2022-04-24,2022,Q2,4,April,24,Sunday,7,1,2022-04
2022-04-25,2022,Q2,4,April,25,Monday,1,0,2022-04
2022-04-26,2022,Q2,4,April,26,Tuesday,2,0,2022-04
2022-04-27,2022,Q2,4,April,27,Wednesday,3,0,2022-04
2022-04-28,2022,Q2,4,April,28,Thursday,4,0,2022-04
2022-04-29,2022,Q2,4,April,29,Friday,5,0,2022-04
2022-04-30,2022,Q2,4,April,30,Saturday,6,1,2022-04
2022-05-01,2022,Q2,5,May,1,Sunday,7,1,2022-05
2022-05-02,2022,Q2,5,May,2,Monday,1,0,2022-05
2022-05-03,2022,Q2,5,May,3,Tuesday,2,0,2022-05
2022-05-04,2022,Q2,5,May,4,Wednesday,3,0,2022-05
2022-05-05,2022,Q2,5,May,5,Thursday,4,0,2022-05
2022-05-06,2022,Q2,5,May,6,Friday,5,0,2022-05
2022-05-07,2022,Q2,5,May,7,Saturday,6,1,2022-05
2022-05-08,2022,Q2,5,May,8,Sunday,7,1,2022-05
2022-05-09,2022,Q2,5,May,9,Monday,1,0,2022-05
2022-05-10,2022,Q2,5,May,10,Tuesday,2,0,2022-05
2022-05-11,2022,Q2,5,May,11,Wednesday,3,0,2022-05
2022-05-12,2022,Q2,5,May,12,Thursday,4,0,2022-05
2022-05-13,2022,Q2,5,May,13,Friday,5,0,2022-05
2022-05-14,2022,Q2,5,May,14,Saturday,6,1,2022-05
2022-05-15,2022,Q2,5,May,15,Sunday,7,1,2022-05
2022-05-16,2022,Q2,5,May,16,Monday,1,0,2022-05
2022-05-17,2022,Q2,5,May,17,Tuesday,2,0,2022-05
2022-05-18,2022,Q2,5,May,18,Wednesday,3,0,2022-05
2022-05-19,2022,Q2,5,May,19,Thursday,4,0,2022-05
2022-05-20,2022,Q2,5,May,20,Friday,5,0,2022-05
2022-05-21,2022,Q2,5,May,21,Saturday,6,1,2022-05
2022-05-22,2022,Q2,5,May,22,Sunday,7,1,2022-05
2022-05-23,2022,Q2,5,May,23,Monday,1,0,2022-05
2022-05-24,2022,Q2,5,May,24,Tuesday,2,0,2022-05
2022-05-25,2022,Q2,5,May,25,Wednesday,3,0,2022-05
2022-05-26,2022,Q2,5,May,26,Thursday,4,0,2022-05
2022-05-27,2022,Q2,5,May,27,Friday,5,0,2022-05
2022-05-28,2022,Q2,5,May,28,Saturday,6,1,2022-05
2022-05-29,2022,Q2,5,May,29,Sunday,7,1,2022-05
2022-05-30,2022,Q2,5,May,30,Monday,1,0,2022-05
2022-05-31,2022,Q2,5,May,31,Tuesday,2,0,2022-05
2022-06-01,2022,Q2,6,June,1,Wednesday,3,0,2022-06
2022-06-02,2022,Q2,6,June,2,Thursday,4,0,2022-06
2022-06-03,2022,Q2,6,June,3,Friday,5,0,2022-06
2022-06-04,2022,Q2,6,June,4,Saturday,6,1,2022-06
2022-06-05,2022,Q2,6,June,5,Sunday,7,1,2022-06
2022-06-06,2022,Q2,6,June,6,Monday,1,0,2022-06
2022-06-07,2022,Q2,6,June,7,Tuesday,2,0,2022-06
2022-06-08,2022,Q2,6,June,8,Wednesday,3,0,2022-06
2022-06-09,2022,Q2,6,June,9,Thursday,4,0,2022-06
2022-06-10,2022,Q2,6,June,10,Friday,5,0,2022-06
2022-06-11,2022,Q2,6,June,11,Saturday,6,1,2022-06
2022-06-12,2022,Q2,6,June,12,Sunday,7,1,2022-06
2022-06-13,2022,Q2,6,June,13,Monday,1,0,2022-06
2022-06-14,2022,Q2,6,June,14,Tuesday,2,0,2022-06
2022-06-15,2022,Q2,6,June,15,Wednesday,3,0,2022-06
2022-06-16,2022,Q2,6,June,16,Thursday,4,0,2022-06
2022-06-17,2022,Q2,6,June,17,Friday,5,0,2022-06
2022-06-18,2022,Q2,6,June,18,Saturday,6,1,2022-06
2022-06-19,2022,Q2,6,June,19,Sunday,7,1,2022-06
2022-06-20,2022,Q2,6,June,20,Monday,1,0,2022-06
2022-06-21,2022,Q2,6,June,21,Tuesday,2,0,2022-06
2022-06-22,2022,Q2,6,June,22,Wednesday,3,0,2022-06
2022-06-23,2022,Q2,6,June,23,Thursday,4,0,2022-06
2022-06-24,2022,Q2,6,June,24,Friday,5,0,2022-06
2022-06-25,2022,Q2,6,June,25,Saturday,6,1,2022-06
2022-06-26,2022,Q2,6,June,26,Sunday,7,1,2022-06
2022-06-27,2022,Q2,6,June,27,Monday,1,0,2022-06
2022-06-28,2022,Q2,6,June,28,Tuesday,2,0,2022-06
2022-06-29,2022,Q2,6,June,29,Wednesday,3,0,2022-06
2022-06-30,2022,Q2,6,June,30,Thursday,4,0,2022-06
2022-07-01,2022,Q3,7,July,1,Friday,5,0,2022-07
2022-07-02,2022,Q3,7,July,2,Saturday,6,1,2022-07
2022-07-03,2022,Q3,7,July,3,Sunday,7,1,2022-07
2022-07-04,2022,Q3,7,July,4,Monday,1,0,2022-07
2022-07-05,2022,Q3,7,July,5,Tuesday,2,0,2022-07
2022-07-06,2022,Q3,7,July,6,Wednesday,3,0,2022-07
2022-07-07,2022,Q3,7,July,7,Thursday,4,0,2022-07
2022-07-08,2022,Q3,7,July,8,Friday,5,0,2022-07
2022-07-09,2022,Q3,7,July,9,Saturday,6,1,2022-07
2022-07-10,2022,Q3,7,July,10,Sunday,7,1,2022-07
2022-07-11,2022,Q3,7,July,11,Monday,1,0,2022-07
2022-07-12,2022,Q3,7,July,12,Tuesday,2,0,2022-07
2022-07-13,2022,Q3,7,July,13,Wednesday,3,0,2022-07
2022-07-14,2022,Q3,7,July,14,Thursday,4,0,2022-07
2022-07-15,2022,Q3,7,July,15,Friday,5,0,2022-07
2022-07-16,2022,Q3,7,July,16,Saturday,6,1,2022-07
2022-07-17,2022,Q3,7,July,17,Sunday,7,1,2022-07
2022-07-18,2022,Q3,7,July,18,Monday,1,0,2022-07
2022-07-19,2022,Q3,7,July,19,Tuesday,2,0,2022-07
2022-07-20,2022,Q3,7,July,20,Wednesday,3,0,2022-07
2022-07-21,2022,Q3,7,July,21,Thursday,4,0,2022-07
2022-07-22,2022,Q3,7,July,22,Friday,5,0,2022-07
2022-07-23,2022,Q3,7,July,23,Saturday,6,1,2022-07
2022-07-24,2022,Q3,7,July,24,Sunday,7,1,2022-07
2022-07-25,2022,Q3,7,July,25,Monday,1,0,2022-07
2022-07-26,2022,Q3,7,July,26,Tuesday,2,0,2022-07
2022-07-27,2022,Q3,7,July,27,Wednesday,3,0,2022-07
2022-07-28,2022,Q3,7,July,28,Thursday,4,0,2022-07
2022-07-29,2022,Q3,7,July,29,Friday,5,0,2022-07
2022-07-30,2022,Q3,7,July,30,Saturday,6,1,2022-07
2022-07-31,2022,Q3,7,July,31,Sunday,7,1,2022-07
2022-08-01,2022,Q3,8,August,1,Monday,1,0,2022-08
2022-08-02,2022,Q3,8,August,2,Tuesday,2,0,2022-08
2022-08-03,2022,Q3,8,August,3,Wednesday,3,0,2022-08
2022-08-04,2022,Q3,8,August,4,Thursday,4,0,2022-08
2022-08-05,2022,Q3,8,August,5,Friday,5,0,2022-08
2022-08-06,2022,Q3,8,August,6,Saturday,6,1,2022-08
2022-08-07,2022,Q3,8,August,7,Sunday,7,1,2022-08
2022-08-08,2022,Q3,8,August,8,Monday,1,0,2022-08
2022-08-09,2022,Q3,8,August,9,Tuesday,2,0,2022-08
2022-08-10,2022,Q3,8,August,10,Wednesday,3,0,2022-08
2022-08-11,2022,Q3,8,August,11,Thursday,4,0,2022-08
2022-08-12,2022,Q3,8,August,12,Friday,5,0,2022-08
2022-08-13,2022,Q3,8,August,13,Saturday,6,1,2022-08
2022-08-14,2022,Q3,8,August,14,Sunday,7,1,2022-08
2022-08-15,2022,Q3,8,August,15,Monday,1,0,2022-08
2022-08-16,2022,Q3,8,August,16,Tuesday,2,0,2022-08
2022-08-17,2022,Q3,8,August,17,Wednesday,3,0,2022-08
2022-08-18,2022,Q3,8,August,18,Thursday,4,0,2022-08
2022-08-19,2022,Q3,8,August,19,Friday,5,0,2022-08
2022-08-20,2022,Q3,8,August,20,Saturday,6,1,2022-08
2022-08-21,2022,Q3,8,August,21,Sunday,7,1,2022-08
2022-08-22,2022,Q3,8,August,22,Monday,1,0,2022-08
2022-08-23,2022,Q3,8,August,23,Tuesday,2,0,2022-08
2022-08-24,2022,Q3,8,August,24,Wednesday,3,0,2022-08
2022-08-25,2022,Q3,8,August,25,Thursday,4,0,2022-08
2022-08-26,2022,Q3,8,August,26,Friday,5,0,2022-08
2022-08-27,2022,Q3,8,August,27,Saturday,6,1,2022-08
2022-08-28,2022,Q3,8,August,28,Sunday,7,1,2022-08
2022-08-29,2022,Q3,8,August,29,Monday,1,0,2022-08
2022-08-30,2022,Q3,8,August,30,Tuesday,2,0,2022-08
2022-08-31,2022,Q3,8,August,31,Wednesday,3,0,2022-08
2022-09-01,2022,Q3,9,September,1,Thursday,4,0,2022-09
2022-09-02,2022,Q3,9,September,2,Friday,5,0,2022-09
2022-09-03,2022,Q3,9,September,3,Saturday,6,1,2022-09
2022-09-04,2022,Q3,9,September,4,Sunday,7,1,2022-09
2022-09-05,2022,Q3,9,September,5,Monday,1,0,2022-09
2022-09-06,2022,Q3,9,September,6,Tuesday,2,0,2022-09
2022-09-07,2022,Q3,9,September,7,Wednesday,3,0,2022-09
2022-09-08,2022,Q3,9,September,8,Thursday,4,0,2022-09
2022-09-09,2022,Q3,9,September,9,Friday,5,0,2022-09
2022-09-10,2022,Q3,9,September,10,Saturday,6,1,2022-09
2022-09-11,2022,Q3,9,September,11,Sunday,7,1,2022-09
2022-09-12,2022,Q3,9,September,12,Monday,1,0,2022-09
2022-09-13,2022,Q3,9,September,13,Tuesday,2,0,2022-09
2022-09-14,2022,Q3,9,September,14,Wednesday,3,0,2022-09
2022-09-15,2022,Q3,9,September,15,Thursday,4,0,2022-09
2022-09-16,2022,Q3,9,September,16,Friday,5,0,2022-09
2022-09-17,2022,Q3,9,September,17,Saturday,6,1,2022-09
2022-09-18,2022,Q3,9,September,18,Sunday,7,1,2022-09
2022-09-19,2022,Q3,9,September,19,Monday,1,0,2022-09
2022-09-20,2022,Q3,9,September,20,Tuesday,2,0,2022-09
2022-09-21,2022,Q3,9,September,21,Wednesday,3,0,2022-09
2022-09-22,2022,Q3,9,September,22,Thursday,4,0,2022-09
2022-09-23,2022,Q3,9,September,23,Friday,5,0,2022-09
2022-09-24,2022,Q3,9,September,24,Saturday,6,1,2022-09
2022-09-25,2022,Q3,9,September,25,Sunday,7,1,2022-09
2022-09-26,2022,Q3,9,September,26,Monday,1,0,2022-09
2022-09-27,2022,Q3,9,September,27,Tuesday,2,0,2022-09
2022-09-28,2022,Q3,9,September,28,Wednesday,3,0,2022-09
2022-09-29,2022,Q3,9,September,29,Thursday,4,0,2022-09
2022-09-30,2022,Q3,9,September,30,Friday,5,0,2022-09
2022-10-01,2022,Q4,10,October,1,Saturday,6,1,2022-10
2022-10-02,2022,Q4,10,October,2,Sunday,7,1,2022-10
2022-10-03,2022,Q4,10,October,3,Monday,1,0,2022-10
2022-10-04,2022,Q4,10,October,4,Tuesday,2,0,2022-10
